tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
PF18-145	PF18	148.2					57.6	0	83.0	312.8	-28	This study	SO-CMD-NORTH
PF18-146	PF18	148.95					-43.4	0	83.0	312.8	-12	This study	SO-CMD-NORTH
PF18-147	PF18	149.54					47.6	0	83.0	312.8	-38	This study	SO-CMD-NORTH
PF18-148	PF18	150.21					22.6	0	83.0	312.8	-20	This study	SO-CMD-NORTH
PF18-149	PF18	150.91					-6.4	0	83.0	312.8	-31	This study	SO-CMD-NORTH
PF18-150	PF18	151.52					73.6	0	83.0	312.8	-32	This study	SO-CMD-NORTH
PF18-151	PF18	152.25					41.6	0	83.0	312.8	-37	This study	SO-CMD-NORTH
PF18-152	PF18	152.67					-44.4	0	83.0	312.8	-27	This study	SO-CMD-NORTH
PF18-153	PF18	153.32					59.6	0	83.0	312.8	-30	This study	SO-CMD-NORTH
PF18-154	PF18	154.27					75.6	0	83.0	312.8	-27	This study	SO-CMD-NORTH
PF18-155	PF18	155.02					55.6	0	83.0	312.8	-35	This study	SO-CMD-NORTH
PF18-156	PF18	155.55					59.6	0	83.0	312.8	-28	This study	SO-CMD-NORTH
PF18-157	PF18	155.79					53.6	0	83.0	312.8	-16	This study	SO-CMD-NORTH
PF18-158	PF18	156.08					51.6	0	83.0	312.8	-40	This study	SO-CMD-NORTH
PF18-159	PF18	156.65					37.6	0	83.0	312.8	-27	This study	SO-CMD-NORTH
PF18-160	PF18	157.4					30.6	0	83.0	312.8	-17	This study	SO-CMD-NORTH
PF18-161	PF18	157.82					42.6	0	83.0	312.8	-20	This study	SO-CMD-NORTH
PF18-162	PF18	158.7					56.6	0	83.0	312.8	-21	This study	SO-CMD-NORTH
PF18-163	PF18	159.15					58.2	0	83.0	312.8	-43	This study	SO-CMD-NORTH
